topic,polarity,claim_type,confidence,needs_verification,buyer_impact,claim_summary,source_channel,source_owner,source_title,source_url,source_video_id,timestamp_start,transcript_language,extraction_provider,extraction_method,content_reuse_policy,usage_rights,reuse_policy,raw_transcript_stored,claim_file,claim_dir
Abarth,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Abarth; requiere revision editorial o AI antes de publicarse como afirmacion.,El Dios de los Autos,El Dios de los Autos,"HYUNDAI acaba de SUPERAR a TOYOTA, Honda y Mazda",https://www.youtube.com/watch?v=zGZVCUjlaIk,zGZVCUjlaIk,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/zGZVCUjlaIk.json,youtube-library-output/knowledge/claims
Acura,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Acura; requiere revision editorial o AI antes de publicarse como afirmacion.,Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,"104. PruebameLa Nave de Acura Integra, ID Buzz, Fiat Mobi, Honda",https://www.youtube.com/watch?v=4CAXSFpMq0E,4CAXSFpMq0E,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/4CAXSFpMq0E.json,youtube-library-output/knowledge/claims
Acura,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Acura; requiere revision editorial o AI antes de publicarse como afirmacion.,Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,"48. Chevrolet Montana, Toyota Avanza 2022, Volvo C40 Recharge, Jac o Maserati",https://www.youtube.com/watch?v=tXFtwyJ0HJI,tXFtwyJ0HJI,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/tXFtwyJ0HJI.json,youtube-library-output/knowledge/claims
Acura,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre Acura; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,"El Podcast de Autos 104 | PruebameLa Nave de Acura Integra, ID Buzz, Fiat Mobi, Honda",https://www.youtube.com/watch?v=hRJTmW-1Ajk,hRJTmW-1Ajk,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/hRJTmW-1Ajk.json,youtube-library-output/knowledge/claims
Acura,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Acura; requiere revision editorial o AI antes de publicarse como afirmacion.,El Dios de los Autos,El Dios de los Autos,"NISSAN y HONDA Presentan PICK UP de $15,000 (TOYOTA y FORD Entran en PANICO)",https://www.youtube.com/watch?v=G55hZPKV2GE,G55hZPKV2GE,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/G55hZPKV2GE.json,youtube-library-output/knowledge/claims
Acura,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Acura; requiere revision editorial o AI antes de publicarse como afirmacion.,El Dios de los Autos,El Dios de los Autos,"¡TOYOTA ACABA DE COMPRAR NISSAN, HONDA Y MITSUBISHI!",https://www.youtube.com/watch?v=ozfRldd0pZI,ozfRldd0pZI,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/ozfRldd0pZI.json,youtube-library-output/knowledge/claims
Acura,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Acura; requiere revision editorial o AI antes de publicarse como afirmacion.,El Dios de los Autos,El Dios de los Autos,¿MAZDA ES MEJOR AUTO PREMIUM QUE BMW?,https://www.youtube.com/watch?v=xzb4lyukVms,xzb4lyukVms,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/xzb4lyukVms.json,youtube-library-output/knowledge/claims
Acura,positive,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion favorable sobre Acura; requiere revision editorial o AI antes de publicarse como afirmacion.,El Dios de los Autos,El Dios de los Autos,¿MAZDA ES MEJOR AUTO PREMIUM QUE BMW?,https://www.youtube.com/watch?v=xzb4lyukVms,xzb4lyukVms,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/xzb4lyukVms.json,youtube-library-output/knowledge/claims
Alfa Romeo,positive,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion favorable sobre Alfa Romeo; requiere revision editorial o AI antes de publicarse como afirmacion.,El Dios de los Autos,El Dios de los Autos,"BYD Acaba de poner DE RODILLAS a Toyota, Nissan y Mazda",https://www.youtube.com/watch?v=kFcNV8iXLuo,kFcNV8iXLuo,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/kFcNV8iXLuo.json,youtube-library-output/knowledge/claims
Alfa Romeo,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Alfa Romeo; requiere revision editorial o AI antes de publicarse como afirmacion.,El Dios de los Autos,El Dios de los Autos,"BYD Acaba de poner DE RODILLAS a Toyota, Nissan y Mazda",https://www.youtube.com/watch?v=kFcNV8iXLuo,kFcNV8iXLuo,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/kFcNV8iXLuo.json,youtube-library-output/knowledge/claims
