topic,slug,status,publication_score,claim_count,selected_claim_count,source_count,owned_tixuz_video_count,angle
Chevrolet,chevrolet,research_brief_needs_editorial_review,62,32,10,5,1,Guia de compra sobre Chevrolet apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Honda,honda,research_brief_needs_editorial_review,64,31,12,5,1,Guia de compra sobre Honda apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Ford,ford,ready_for_human_editor,86,29,10,5,3,Guia de compra sobre Ford apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Audi,audi,research_brief_needs_editorial_review,49,17,9,4,0,"Alertas y puntos a revisar antes de comprar un Audi, usando referencias externas como pistas editoriales."
BMW,bmw,research_brief_needs_editorial_review,61,17,12,5,1,Guia de compra sobre BMW apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Mazda,mazda,research_brief_needs_editorial_review,57,13,12,5,1,Guia de compra sobre Mazda apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Dodge,dodge,research_brief_needs_editorial_review,68,12,10,5,2,Guia de compra sobre Dodge apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Mercedes,mercedes,research_brief_needs_editorial_review,68,12,7,5,2,Guia de compra sobre Mercedes apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
GMC,gmc,research_brief_needs_editorial_review,52,8,6,4,1,Guia de compra sobre GMC apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Jeep,jeep,research_brief_needs_editorial_review,40,8,7,4,0,"Mapa editorial de Jeep: modelos, dudas frecuentes, reputacion y videos que conviene revisar antes de publicar."
Nissan,nissan,ready_for_human_editor,76,8,6,4,4,Guia de compra sobre Nissan apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Toyota,toyota,research_brief_needs_editorial_review,44,8,7,3,1,Guia de compra sobre Toyota apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Acura,acura,research_brief_needs_editorial_review,23,7,2,2,0,"Alertas y puntos a revisar antes de comprar un Acura, usando referencias externas como pistas editoriales."
